frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
16, 0, 0.600, 0.98, 1, 0.45, 0.02, 0.47, 0.96, -0.50, 0.47, 0.68, 0.15, 0.26, 0.50, -0.22, 0.40, 0.34, 0.72, 0.89, 0.41, -0.16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
17, 0, 0.640, 0.98, 1, 0.47, 0.22, 0.47, 0.78, -0.47, 0.44, 0.52, 0.12, 0.24, 0.58, -0.04, 0.38, 0.39, 0.59, 0.90, 0.47, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
18, 0, 0.680, 0.98, 1, 0.50, 0.43, 0.40, 1.16, -0.49, 0.06, 0.54, 0.31, 0.23, 0.53, 0.13, 0.60, 0.24, 0.55, 1.02, 0.45, -0.71, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
19, 0, 0.720, 0.98, 1, 0.62, 0.40, 0.36, 1.17, -0.49, -0.26, 0.47, 0.21, 0.23, 0.69, 0.24, 0.87, 0.25, 0.84, 0.87, 0.59, -0.42, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
20, 0, 0.760, 0.98, 1, 0.00, -0.22, 0.25, 1.25, -0.39, -0.43, 0.60, 0.40, 0.15, 0.32, 0.29, 0.45, 0.61, 0.62, 1.05, 0.81, -0.31, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
21, 0, 0.800, 0.98, 1, 0.71, 0.36, 0.52, 1.26, -0.43, 0.01, 0.60, 0.24, -0.05, 0.67, 0.22, 0.20, 0.46, 0.21, 1.28, 0.99, 0.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
22, 0, 0.840, 0.98, 1, 0.66, 0.29, 0.59, 1.29, -0.56, 0.07, 0.68, 0.25, -0.15, 0.53, 0.13, 0.41, 0.31, 0.45, 1.04, 1.03, -0.01, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
23, 0, 0.880, 0.98, 1, 0.58, 0.24, 0.61, 1.26, -0.43, 0.23, 0.58, 0.18, -0.09, 0.35, 0.16, 0.48, 0.33, 0.60, 1.08, 1.02, 0.00, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
24, 0, 0.920, 0.98, 1, 0.71, 0.34, 0.86, 1.12, -0.58, 0.25, 0.45, 0.40, -0.18, 0.30, -0.01, 0.21, 0.24, 0.34, 1.34, 0.76, -0.25, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
25, 0, 0.960, 0.98, 1, 0.64, 0.39, 0.91, 0.94, -0.54, 0.53, 0.42, 0.49, -0.12, 0.28, -0.01, 0.31, 0.26, 0.40, 1.17, 0.79, -0.07, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
26, 0, 1.000, 0.98, 1, 0.66, 0.44, 0.79, 1.15, -0.52, 0.36, 0.45, 0.46, -0.11, 0.31, 0.04, 0.34, 0.22, 0.40, 1.14, 0.80, -0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
27, 0, 1.040, 0.98, 1, 0.68, 0.76, 0.95, 1.11, -0.50, 0.34, 0.14, 0.25, -0.09, 0.39, 0.46, 0.63, 0.15, 0.26, 1.18, 0.80, 0.54, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
28, 0, 1.080, 0.98, 1, 1.41, 1.33, 1.16, 0.22, -0.25, 0.56, 0.20, 0.38, 0.14, 0.58, 0.27, 0.92, 0.52, -0.41, 1.25, 0.59, 2.89, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
29, 0, 1.120, 0.98, 1, 1.40, 1.34, 1.13, 0.23, -0.26, 0.65, 0.16, 0.37, 0.15, 0.70, 0.42, 0.79, 0.45, -0.41, 1.37, 0.66, 2.75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
30, 0, 1.160, 0.98, 1, 1.13, 1.52, 1.32, 0.60, -0.29, 0.52, 0.16, 0.00, 0.20, 0.92, 0.18, 1.06, 0.77, 0.44, -0.00, 0.62, 2.89, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
31, 0, 1.200, 0.98, 1, 0.63, 1.07, 1.17, 0.04, -0.35, -0.03, -0.04, -0.27, 0.32, 0.56, 0.07, 0.97, 0.88, 0.84, 0.07, 0.74, 2.00, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
32, 0, 1.240, 0.98, 1, 0.72, 1.16, 1.22, -0.09, -0.39, -0.23, 0.03, -0.21, 0.34, 0.63, -0.02, 0.97, 0.73, 0.88, 0.04, 0.87, 1.87, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
