frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
66, 0, 2.600, 0.98, 1, 0.44, 0.27, 1.43, 0.69, -0.78, 0.39, 0.42, -0.58, -0.62, 0.05, 0.25, 0.56, 0.05, 0.01, 1.22, 0.83, 0.19, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
67, 0, 2.640, 0.98, 1, 0.59, 0.22, 1.36, 0.97, -0.89, 0.36, 0.30, -0.44, -0.53, -0.15, 0.25, 0.37, -0.16, 0.04, 1.35, 1.05, 0.13, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
68, 0, 2.680, 0.98, 1, 0.13, -0.26, 1.24, 0.87, -0.74, 0.47, 0.40, -0.65, -0.60, 0.18, 0.44, 0.24, -0.01, -0.20, 1.35, 0.83, 0.70, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
69, 0, 2.720, 0.98, 1, 0.43, 0.14, 1.25, 0.65, -0.82, 0.82, 0.28, -0.74, -0.59, -0.24, 0.29, 0.10, -0.10, -0.38, 1.48, 0.82, 0.52, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
70, 0, 2.760, 0.98, 1, 0.67, 0.39, 1.38, 0.76, -0.98, 0.20, 0.17, -0.63, -0.59, -0.20, 0.39, 0.38, -0.24, -0.28, 1.37, 0.92, 0.23, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0
71, 0, 2.800, 0.98, 1, 0.66, 0.59, 1.27, 0.67, -1.02, 0.12, 0.43, -0.81, -0.68, -0.17, 0.11, 0.49, -0.38, -0.28, 0.88, 1.39, 0.26, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
72, 0, 2.840, 0.98, 1, -0.38, -0.15, 0.47, 0.65, -0.66, 0.13, 0.18, -0.86, 0.05, 0.41, 0.24, 1.91, 0.25, 1.90, -1.44, 0.18, 0.18, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
73, 0, 2.880, 0.93, 1, -0.22, 0.09, 0.46, 0.63, -0.60, 0.35, 0.22, -0.67, -0.02, 0.57, 0.33, 1.29, 0.20, 1.48, -1.19, 0.33, 0.46, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
74, 0, 2.920, 0.93, 1, 0.12, 0.42, 0.57, 0.81, -0.70, 0.57, 0.10, -0.51, 0.02, 0.50, 0.25, 1.60, 0.00, 1.72, -1.23, 0.23, 0.14, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
75, 0, 2.960, 0.98, 1, -0.23, -0.27, 0.48, 0.61, -0.60, 0.20, 0.33, -0.42, 0.00, 0.54, 0.34, 1.63, 0.08, 1.69, -1.01, 0.32, 0.28, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
76, 0, 3.000, 0.93, 1, 0.05, -0.26, 0.67, 0.75, -0.61, -0.36, 0.46, -0.08, -0.02, 0.59, 0.16, 0.79, 0.47, 0.94, -0.51, 0.15, 0.37, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
77, 0, 3.040, 0.98, 1, 0.45, 0.07, 0.97, 0.31, -0.65, 0.29, 0.08, -0.11, 0.05, 0.66, 0.32, 1.19, 0.63, 1.09, -0.27, 0.45, 0.26, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
78, 0, 3.080, 0.98, 1, 0.40, 0.34, 0.92, 0.16, -0.63, 0.50, 0.12, -0.06, 0.09, 0.52, 0.35, 1.11, 0.65, 1.23, -0.24, 0.15, 0.24, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
79, 0, 3.120, 0.98, 1, 0.05, -0.28, 0.78, 0.20, -0.45, 0.49, 0.32, -0.29, 0.09, 0.74, -0.02, 0.70, 0.63, 0.84, 0.22, 0.39, 0.53, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0
80, 0, 3.160, 0.98, 1, 0.39, 0.25, 0.92, 0.40, -0.56, 0.55, 0.09, -0.13, 0.19, 0.67, -0.12, 1.04, 0.52, 0.95, 0.09, 0.60, 0.20, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
81, 0, 3.200, 0.98, 1, 0.59, 0.65, 0.77, 0.28, -0.42, 0.89, 0.16, -0.01, 0.16, 0.80, 0.01, 0.98, 0.93, 0.85, 0.14, 0.55, 0.87, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
82, 0, 3.240, 0.98, 1, 0.54, 0.59, 0.62, 0.30, -0.04, 0.10, 0.43, 0.12, 0.26, 1.28, 0.12, 0.99, 1.12, -0.07, 0.23, 0.68, 3.84, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
83, 0, 3.280, 0.98, 1, 0.95, 0.44, 0.77, -0.54, -0.05, 0.43, 0.26, 0.09, 0.31, 1.17, 0.08, 0.82, 1.26, -0.38, 0.60, 1.01, 3.41, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
84, 0, 3.320, 0.98, 1, 0.84, 0.63, 0.81, -0.76, -0.13, 0.45, 0.32, 0.13, 0.22, 1.07, 0.39, 0.92, 1.12, -0.13, 0.48, 0.51, 3.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
85, 0, 3.360, 0.98, 1, 0.35, 0.21, 0.64, -0.14, -0.07, 0.40, 0.38, 0.08, 0.29, 1.21, 0.03, 0.79, 1.24, -0.22, 0.33, 0.62, 3.45, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
86, 0, 3.400, 0.98, 1, 0.80, 0.66, 0.98, -0.59, -0.14, 0.67, 0.35, 0.05, 0.11, 1.30, 0.05, 0.76, 0.88, -0.24, 0.31, 0.49, 2.57, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
87, 0, 3.440, 0.98, 1, 0.73, 0.54, 1.06, -0.09, -0.27, 0.79, 0.23, 0.04, 0.01, 0.70, -0.02, 1.01, 0.47, 0.25, 0.79, 0.56, 1.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
88, 0, 3.480, 0.98, 1, 0.80, 0.51, 1.00, -0.51, -0.36, 0.90, 0.28, 0.22, -0.03, 0.65, 0.01, 1.13, 0.58, 0.49, 0.72, 0.80, 1.43, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
89, 0, 3.520, 0.98, 1, 0.32, -0.22, 0.78, -0.25, -0.51, 0.33, 0.43, -0.22, -0.12, 0.93, 0.05, 0.42, 0.27, 0.08, 0.60, 0.66, 1.19, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
90, 0, 3.560, 0.98, 1, 0.66, 0.38, 1.08, -0.07, -0.53, 0.75, 0.19, -0.19, -0.05, 0.70, 0.10, 0.88, 0.37, 0.22, 0.76, 0.68, 0.88, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
91, 0, 3.600, 0.98, 1, 0.58, 0.18, 1.14, -0.14, -0.59, 0.41, 0.19, -0.23, -0.08, 0.58, 0.00, 0.88, 0.24, 0.31, 0.88, 0.87, 0.31, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
92, 0, 3.640, 0.98, 1, 0.03, -0.27, 0.99, 0.23, -0.29, 0.77, 0.53, -0.15, -0.12, 0.91, 0.20, 0.38, 0.52, -0.09, 1.02, 1.02, 0.10, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
93, 0, 3.680, 0.98, 1, 0.59, 0.40, 1.02, -0.13, -0.44, 0.87, 0.36, -0.16, -0.18, 0.75, 0.11, 0.51, 0.36, -0.31, 1.14, 1.11, 0.30, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
94, 0, 3.720, 0.98, 1, 0.32, 0.26, 1.07, -0.27, -0.43, 0.61, 0.43, -0.14, -0.18, 0.47, 0.08, 0.68, 0.10, -0.00, 0.94, 1.13, 0.28, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
95, 0, 3.760, 0.98, 1, 0.38, 0.20, 1.23, -0.01, -0.44, 0.97, 0.41, -0.15, -0.18, 0.57, 0.08, 0.70, 0.11, 0.21, 1.03, 1.10, 0.21, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
96, 0, 3.800, 0.98, 1, -0.05, -0.62, 0.63, -0.14, -0.44, 0.41, 0.49, -0.03, -0.06, 0.84, 0.04, 0.61, 0.19, 0.18, 0.79, 0.84, 0.60, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
97, 0, 3.840, 0.98, 1, 0.31, -0.08, 0.59, 0.22, -0.40, 0.54, 0.51, -0.06, -0.09, 0.72, 0.40, 0.76, 0.26, 0.23, 0.82, 0.71, 0.52, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
98, 0, 3.880, 0.98, 1, 0.41, -0.13, 0.71, 0.15, -0.48, 0.22, 0.48, 0.10, -0.02, 0.47, 0.29, 0.74, 0.19, 0.43, 0.83, 0.76, 0.35, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
99, 0, 3.920, 0.98, 1, 0.26, -0.41, 0.67, 0.10, -0.44, 0.49, 0.54, 0.15, 0.03, 0.46, 0.36, 1.01, 0.16, 0.82, 0.49, 0.70, 0.37, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
100, 0, 3.960, 0.98, 1, -0.36, -0.73, 0.45, 0.32, -0.39, 0.47, 0.53, 0.10, 0.06, 0.76, 0.25, 0.56, 0.12, 0.39, 0.54, 0.38, 0.82, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
101, 0, 4.000, 0.98, 1, 0.26, -0.19, 0.45, -0.12, -0.49, 0.38, 0.55, 0.03, 0.02, 0.81, 0.37, 0.61, 0.28, 0.23, 0.75, 0.85, 0.61, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
102, 0, 4.040, 0.98, 1, 0.17, 0.04, 0.49, 0.54, -0.43, 0.33, 0.46, -0.01, -0.01, 0.31, 0.37, 0.84, 0.55, 0.62, 0.69, 0.44, 0.22, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
103, 0, 4.080, 0.98, 1, 0.09, -0.09, 0.41, 0.30, -0.32, 0.38, 0.59, 0.08, 0.16, 0.34, 0.42, 1.08, 0.61, 1.16, 0.36, 0.28, 0.13, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
104, 0, 4.120, 0.98, 1, -0.66, -0.76, 0.08, 0.54, -0.33, -0.41, 0.61, 0.18, 0.18, 0.50, 0.39, 0.62, 0.64, 0.78, 0.22, 0.02, 0.41, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
105, 0, 4.160, 0.98, 1, 0.03, -0.09, 0.23, 0.76, -0.42, 0.07, 0.54, -0.10, 0.10, 0.33, 0.47, 0.64, 0.56, 0.68, 0.32, 0.30, 0.21, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
106, 0, 4.200, 0.98, 1, -0.08, -0.45, 0.32, 0.59, -0.33, 0.14, 0.47, -0.02, 0.18, 0.54, 0.23, 0.70, 0.51, 0.96, 0.15, 0.38, 0.17, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
107, 0, 4.240, 0.98, 1, 0.03, -0.45, 0.53, 0.63, -0.45, 0.19, 0.25, -0.14, -0.01, 0.86, 0.01, 0.93, 0.59, 1.50, -0.33, 0.38, 0.04, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
108, 0, 4.280, 0.98, 1, -0.41, -0.60, 0.27, 0.66, -0.46, 0.16, 0.51, -0.34, 0.04, 1.02, 0.11, 0.67, 0.40, 1.20, -0.53, 0.24, 0.57, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
109, 0, 4.320, 0.98, 1, 0.05, -0.09, 0.49, 0.59, -0.51, 0.03, 0.28, -0.25, 0.10, 1.20, -0.09, 0.47, 0.19, 0.74, 0.51, 1.07, 0.36, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
110, 0, 4.360, 0.98, 1, 0.17, 0.17, 0.72, 0.77, -0.47, 0.22, 0.35, -0.11, 0.21, 1.09, -0.17, 0.44, 0.31, 0.89, 0.49, 0.66, 0.38, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
111, 0, 4.400, 0.98, 1, 0.17, 0.17, 0.58, 0.73, -0.44, 0.13, 0.44, -0.05, 0.21, 1.09, -0.22, 0.45, 0.32, 1.02, 0.52, 0.68, 0.40, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
112, 0, 4.440, 0.98, 1, 0.24, 0.65, 0.71, 0.63, -0.24, 0.44, 0.38, 0.14, 0.42, 0.73, -0.17, 0.63, 0.72, 0.59, 0.53, 0.51, 2.10, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
113, 0, 4.480, 0.98, 1, 0.26, 0.42, 0.74, 0.71, -0.10, 0.41, 0.32, 0.16, 0.46, 1.04, 0.13, 0.64, 0.88, 0.27, 0.65, 0.54, 2.29, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
114, 0, 4.520, 0.98, 1, 0.30, 0.55, 0.85, 0.57, -0.19, 0.47, 0.36, 0.17, 0.49, 0.92, -0.12, 0.55, 0.80, 0.48, 0.58, 0.51, 2.20, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
115, 0, 4.560, 0.93, 1, 0.90, 0.90, 0.72, 0.47, -0.04, 0.34, 0.33, 0.15, 0.64, 1.06, -0.16, 0.89, 0.75, 0.11, 0.84, 0.42, 3.94, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
116, 0, 4.600, 0.98, 1, 0.26, 0.57, 0.70, 0.11, -0.06, 0.76, 0.36, 0.05, 0.51, 1.02, -0.01, 0.99, 0.80, 0.16, 0.70, 0.12, 3.20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
117, 0, 4.640, 0.98, 1, 0.41, 0.65, 0.81, -0.34, -0.07, 0.75, 0.42, 0.08, 0.60, 0.84, 0.01, 1.03, 0.51, 0.31, 0.77, 0.21, 3.15, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
118, 0, 4.680, 0.98, 1, 0.18, 0.39, 0.91, -0.24, -0.17, 0.59, 0.47, 0.25, 0.51, 1.05, 0.09, 0.96, 0.70, 0.51, 0.58, 0.56, 2.21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
119, 0, 4.720, 0.98, 1, 0.19, 0.37, 0.76, -0.21, -0.19, 0.35, 0.46, 0.23, 0.52, 0.93, 0.08, 0.92, 0.49, 0.57, 0.66, 0.56, 2.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
120, 0, 4.760, 0.98, 1, 0.39, 0.48, 1.03, -0.01, -0.43, 0.57, 0.26, -0.14, 0.00, 0.53, 0.33, 1.11, 0.74, 0.12, 0.89, 0.81, 1.05, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
121, 0, 4.800, 0.98, 1, 0.47, 0.77, 1.01, -0.06, -0.46, 0.60, 0.36, 0.06, 0.06, 0.81, 0.66, 1.10, 0.50, 0.21, 1.13, 0.64, 1.06, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
122, 0, 4.840, 0.98, 1, 0.46, 0.49, 0.99, -0.03, -0.51, 0.42, 0.30, -0.10, 0.02, 0.78, 0.44, 0.91, 0.43, 0.25, 1.24, 0.88, 0.65, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
123, 0, 4.880, 0.98, 1, -0.02, 0.15, 0.75, 0.12, -0.43, 0.63, 0.45, -0.11, -0.08, 0.97, 0.47, 0.78, 0.56, 0.05, 0.80, 0.78, 1.24, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
124, 0, 4.920, 0.98, 1, 0.46, 0.41, 0.96, 0.13, -0.50, 0.29, 0.27, -0.17, -0.11, 0.47, 0.66, 0.86, 0.53, -0.26, 1.30, 0.96, 0.83, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
125, 0, 4.960, 0.98, 1, 0.32, 0.42, 1.00, 0.30, -0.52, 0.75, 0.29, -0.16, -0.12, 0.52, 0.64, 0.95, 0.51, -0.02, 1.43, 1.10, 0.46, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
126, 0, 5.000, 0.98, 1, 0.64, 0.55, 1.10, -0.26, -0.53, 0.18, 0.41, -0.23, -0.23, 0.64, 0.49, 0.97, 0.36, 0.09, 1.41, 0.97, 0.59, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
127, 0, 5.040, 0.98, 1, 0.25, -0.03, 0.85, 0.37, -0.50, 0.33, 0.27, -0.25, -0.22, 0.80, 0.39, 0.83, 0.56, -0.09, 1.24, 1.04, 0.85, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
128, 0, 5.080, 0.98, 1, 0.77, 0.46, 1.03, 0.15, -0.49, 0.63, 0.23, -0.26, -0.21, 0.55, 0.31, 0.87, 0.34, -0.21, 1.47, 0.79, 0.62, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
129, 0, 5.120, 0.98, 1, 0.66, 0.16, 1.10, 0.32, -0.56, 0.69, 0.26, -0.45, -0.30, 0.56, -0.12, 0.84, 0.31, -0.03, 1.17, 0.74, 0.44, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
130, 0, 5.160, 0.98, 1, 0.53, -0.17, 1.06, 0.41, -0.45, 0.72, 0.38, -0.29, -0.28, 0.93, 0.24, 0.68, 0.41, -0.18, 1.06, 0.98, 0.60, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
131, 0, 5.200, 0.98, 1, 0.76, -0.03, 1.31, 0.22, -0.41, 1.02, 0.24, -0.32, -0.29, 0.46, 0.39, 0.86, 0.38, -0.33, 1.35, 0.61, 0.50, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
132, 0, 5.240, 0.98, 1, 0.61, 0.07, 1.11, 0.08, -0.47, 0.24, 0.36, -0.33, -0.26, 0.45, 0.11, 0.91, 0.07, 0.07, 1.10, 0.66, 0.11, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
133, 0, 5.280, 0.98, 1, 0.31, -0.58, 0.99, 0.20, -0.41, 0.63, 0.21, -0.24, -0.23, 0.70, 0.61, 0.74, 0.25, -0.26, 1.09, 0.70, 0.54, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
134, 0, 5.320, 0.98, 1, 0.58, 0.28, 1.09, 0.46, -0.55, 0.13, 0.17, -0.30, -0.33, 0.39, 0.72, 0.51, 0.33, -0.32, 1.24, 0.73, 0.28, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
135, 0, 5.360, 0.98, 1, 0.35, 0.12, 1.19, 0.26, -0.56, -0.08, 0.17, -0.28, -0.22, 0.42, 0.08, 0.85, 0.23, -0.12, 0.99, 1.11, -0.09, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
136, 0, 5.400, 0.98, 1, 0.21, -0.22, 1.00, 0.63, -0.49, 0.28, 0.24, -0.51, -0.30, 0.41, 0.27, 0.35, 0.21, -0.42, 1.35, 1.06, 0.40, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0
